State |City|MSA|Road Length [Miles]|Highway Length [Miles]||||||
New York|Mount Vernon|35620|113499|8063||||||
New York|New Rochelle|35620|113499|8063||||||
New York|New York City-Long Island-Hudson Valley|35620|113499|8063||||||
New York|Syracuse-Utica|45060|113499|8063||||||
New York|Westchester|35614|113499|8063||||||
North Carolina|Charlotte-York County|16740|106522|5667||||||
North Carolina|Greensboro|24660|106522|5667||||||
North Carolina|Hickory|25860|106522|5667||||||
North Carolina|Raleigh|39580|106522|5667||||||
Nova Scotia, Canada||||||||||
Ohio|Cincinnati-Dayton|19380|122974|6607||||||
Ohio|Cleveland|17460|122974|6607||||||
Ohio|Columbus|18140|122974|6607||||||
Ohio|Toledo-Maumee|45780|122974|6607||||||
Oklahoma|Oklahoma City|36420|112988|4151||||||
Oklahoma|Tulsa|46140|112988|4151||||||
Ontario, Canada|Detroit-Windsor|||||||||
Ontario, Canada|Hamilton|||||||||
Ontario, Canada|Ottawa-Gatineau|||||||||
Ontario, Canada|Sault Ste. Marie (Canada and Michigan)|||||||||
Ontario, Canada|Simcoe County|||||||||
Ontario, Canada|Toronto|||||||||
Oregon|Portland|38900|73529|4310||||||
Pennsylvania|Delaware County|34620|120446|7157||||||
Pennsylvania|Harrisburg|25420|120446|7157||||||
Pennsylvania|Lehigh Valley|10900|120446|7157||||||
Pennsylvania|Philadelphia|37964|120446|7157||||||
Pennsylvania|Pittsburgh|38300|120446|7157||||||
Pennsylvania|Northeast Pennsylvania||120446|7157||||||
||||||||||
Puerto Rico|||17184|411||||||
Quebec, Canada|Greater Montreal|||||||||
Mexico|Quer&eacute;taro|||||||||
Rhode Island|East Providence|77200|6052|602||||||
Rhode Island|North Kingstown|77200|6052|602||||||
Rhode Island|Pawtucket-Central Falls|77200|6052|602||||||
Rhode Island|Providence|77200|6052|602||||||
Rhode Island|Richmond|77200|6052|602||||||
Rhode Island|Warwick|77200|6052|602||||||
Rhode Island|Woonsocket|77200|6052|602||||||
South Carolina|Greenville-Spartanburg|24860|76067|3602||||||
Tennessee|Knoxville|28940|95737|5015||||||
Tennessee|Memphis|32820|95737|5015||||||
Tennessee|Nashville|34980|95737|5015||||||
Texas|Austin|12420|313656|18031||||||
Texas|Dallas-Fort Worth|19124|313656|18031||||||
Texas|Frisco||313656|18031||||||
Texas|Houston|26420|313656|18031||||||
Texas|Milam County||313656|18031||||||
Utah||||||||||
Virginia|Alexandria-Arlington-Loudoun-Fairfax (Northern Virginia)|47894|75096|4602||||||
Virginia|Great Richmond|40060|75096|4602||||||
Virginia|Hampton Roads|47260|75096|4602||||||
Virginia|Northern Virginia||75096|4602||||||
Washington|Pudget Sound Region||80332|4557||||||
Washington|Tacoma-Pierce County|42660|80332|4557||||||
Washington, DC||47894|1509|134||||||
Wisconsin|Madison|31540|115458|5958||||||
Wisconsin|Milwaukee|33340|115458|5958||||||
||||||||||
||||||||||
|||||    |||||
